SENSORIMOTOR_SOURCE_DOMAIN,TYPE,IMAGE_SCHEMA_ANNOTATION,SOURCE_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",TARGET_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",CONCEPTUAL_METAPHOR,Language,LinguisticExamples,[SOURCE],TAKEN FROM,COMMENT ,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,Seize the opportunity.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,Don’t lose this opportunity.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,Don’t let the opportunity pass you by.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,You have to make your own opportunities.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,I’ve had 3 opportunities to meet him.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,You rarely find that kind of opportunity.,"[Lakoff et al., 1991:68]",IScat ,checked in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en, We've got plenty of chances left. ,[Grady 1998],MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Opportunity,frame:Opportunity,OPPORTUNITIES ARE OBJECTS,en,I've squandered every opportunity to advance my career.,[Grady 1998],MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Existence,frame:Existence,EXISTENCE IS AN OBJECT,en,I want control over my own existence.,"[Lakoff et al., 1991:71]",IScat ,Not in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Perceiving,frame:PerceptionExperience,Existence,frame:Existence,EXISTENCE IS VISIBILITY,en,The dodo disappeared in the 1600s.,[Grady 1998],MetaNet,,
