Russian,English,ImageSchema,,Metaphor,Source,,,
"Если какой-то книги нет в продаже, потому что хозяин копирайта не озаботился ее переизданием.",If the book is out of stock just because the copyright owner didn't bother himself to republish it.,CONTAINMENT,Resources,RESOURCE IS OUT,https://rus-ltc.org/search,,,
"GAFA  постепенно устраняют конкуренцию на рынке, расширяя свое влияние.","GAFA is gradually eliminating competition in the market, expanding its influence.",CENTER-PERIPHERY ,Importance,IMPORTANT IS NEAR,https://www.vtimes.io/2020/10/30/kak-google-okazalsya-na-meste-microsoft-a1226,,,
Она идёт в библиотеку.,She is going to the library.,PATH,,,http://www.russianforeveryone.com/Rufe/Lessons/Course1/Grammar/GramUnit10/GramUnit10_1.htm,,,
"Мама, поедем в книжный магазин!","Mom, let's go to the bookstore!",PATH,,,http://www.russianforeveryone.com/Rufe/Lessons/Course1/Grammar/GramUnit10/GramUnit10_1.htm,,,
Подаче иска предшествовал представленный в начале октября доклад конгрессменов,The filing of the lawsuit was preceded by a report submitted in early October by congressmen,PATH,,,https://www.vtimes.io/2020/10/30/kak-google-okazalsya-na-meste-microsoft-a1226,,,
"Wallmart, крупнейшая розничная сеть США,","Wallmart, the largest retailer in the United States",SCALE,,,https://www.vtimes.io/2020/10/30/krupneishaya-roznichnaya-set-ssha-ubrala-iz-magazinov-oruzhie-pered-prezidentskimi-viborami-a1229,,,
" «Усиление конкуренции после дела Microsoft позволило Google вырасти из небольшого стартапа до интернет-гиганта», – считает регулятор.","“Increased competition following the Microsoft affair has allowed Google to grow from a small startup to an Internet giant,” the regulator said.",SCALE,,,https://www.vtimes.io/2020/10/30/kak-google-okazalsya-na-meste-microsoft-a1226,,,
" И я хочу, чтобы вы знали, Что в сердце у меня печаль ",And I want you to know that I have sorrow in my heart,SUBSTANCE,Emotions,SADNESS / BEING SAD IS A MIXED / PURE SUBSTANCE,http://www.1513.ru/2010-03-04-14-40-21/2010-03-10-07-04-24 (ruTenTen11 SketchEngine Corpus),,,
"отложим в сторону проблему социального контроля в ""тоталитарных"" обществах.","let's put aside the problem of social control in ""totalitarian"" societies.",CENTER-PERIPHERY ,Importance,UNIMPORTANT ISSUES ARE GIVEN PERIPHERAL POSITIONS,http://lib.ru/POLITOLOG/karamurza.txt (ruTenTen11 SketchEngine Corpus),,,
"разных групп пользователей поведение в интернете тоже разное, то Крипта легко сможет отличить их друг от друга","Since different user groups have different behavior on the Internet, the Crypt can easily distinguish them from each other.",CENTER-PERIPHERY ,Similarity,SIMILARITY IS CLOSENESS,http://www.russianpromo.ru/news/848/ (ruTenTen11 SketchEngine Corpus),,,
" и не было на свете такой силы, которая смогла бы их отдалить друг от друга в этот момент.",and there was no such force in the world that could separate them from each other at that moment.,CENTER-PERIPHERY ,Emotions,AFFECTION IS PHYSICAL CLOSENESS,http://secretofwoman.ru/story.php?page=doroga_k_princu_828 (ruTenTen11 SketchEngine Corpus),,,
Даже если его лично еще совершенно этот кризис не коснулся,Even if he personally has not yet been completely affected by this crisis,CONTACT,Emotions,EMOTIONAL EFFECT IS PHYSICAL CONTACT,http://lib.ru/POLITOLOG/karamurza.txt (ruTenTen11 SketchEngine Corpus),,,
как Бог коснулся их жизни,how God touched their lives,CONTACT,Intimacy,EMOTIONAL INTIMACY IS ESTABLISHED BY PHYSICAL CONTACT,http://www.cafe-margarita.ru/dir-catalogue/smi/sd-1/ (ruTenTen11 SketchEngine Corpus),,,
"Что жизнь понимали и ценили друг друга, чтобы были одним целым. ",That they understood and appreciated each other's life so that they were one whole,PART-WHOLE,Emotions,LOVE IS A UNITY,http://www.aurann.ru/audio/pozdravleniya-serebryannuy-svadbu.html (ruTenTen11 SketchEngine Corpus),,,
" Всё это как кусочки пазла , из которых складывается объёмная картина того, о чём ведётся основной разговор. ",All these are like pieces of a puzzle that make up a three-dimensional picture of what the main conversation is about.,PART-WHOLE,Coherence,COHERENT IS WHOLE ,http://aen.ru/?page=brief&article_id=62597&PHPSESSID=ter8q2s6r5nrfe5isk0idemmd6 (ruTenTen11 SketchEngine Corpus),,,
Он развалился на части и умер,He fell apart and died. ,PART-WHOLE,Destruction,DESTRUCTION IS SPLITTING,http://skazki.yaxy.ru/130.html,,,
"Кажется, между ними сильная связь ",There seems to be a strong bond between them,LINK,Emotions,LOVE IS A BOND,http://www.rodinakino.ru/films/gryadut-peremeny (ruTenTen11 SketchEngine Corpus),,,
"Чем прочнее и интенсивнее социальные связи , тем действеннее такие санкции","The stronger and more intense the social ties,
the more effective such sanctions
",LINK,Relationships,SOCIAL RELATIONSHIPS ARE LINKS,http://www.econline.edu.ru/textbook/Glava_2_Ekonomi4esko/2_5_Instituty/Problema_prinuxdeniR (ruTenTen11 SketchEngine Corpus),,,
"Парламентарии уверены, что руководство страны не смогло противостоять информационной атаке со стороны Москвы.",The parliamentarians are sure that the country's leadership was unable to resist the information attack from Moscow.,FORCE,Events,IMPEDIMENTS TO ACTION ARE IMPEDIMENTS TO MOTION,https://www.vtimes.io/2020/10/29/na-britanskoe-pravitelstvo-podali-v-sud-za-otkaz-provodit-rassledovanie-protiv-rossii-a1210,,,
"Эта культура создавалась интровертами – разработчиками и инженерами, живущими в своем изолированном от общества «пузыре», довольно мало сопереживающими тем, кто снаружи. ","This culture was created by introverts - developers and engineers who live in their isolated ""bubble"" from society, who have little empathy for those outside.",CENTER-PERIPHERY ,Affiliation,AFFILIATION IS PHYSICAL CLOSENESS,https://www.vtimes.io/2020/10/31/snyatsya-li-tsukerbergu-elektroovtsi-a1213,,,
которые не останавливаются перед препятствиями на пути к реализации своих прорывных идей ,who do not stop at obstacles on the way to realizing their breakthrough ideas,FORCE,Problems,PROBLEMS ARE OBSTACLES ON THE PATH,https://www.vtimes.io/2020/10/31/snyatsya-li-tsukerbergu-elektroovtsi-a1213,,,
Именно предприниматели меняют мир и двигают его вперед,It is entrepreneurs who change the world and move it forward,PATH,Progress,PROGRESS IS FORWARD MOVEMENT,https://www.vtimes.io/2020/10/31/snyatsya-li-tsukerbergu-elektroovtsi-a1213,,,
"Одно дело, когда просто снижается спрос или общеэкономическая ситуация вынуждает резко сокращать обороты.",It's one thing when demand simply declines or the general economic situation forces them to sharply reduce turnover.,VERTICALITY,Quantity,MORE IS UP; LESS IS DOWN,https://www.vtimes.io/2020/10/21/repik-chast-2-a1053,,,
"Общее отношение граждан к предпринимательству основано на стереотипах, которые нам вбивались в голову в советское время, я тоже его немножко застал. ","The general attitude of citizens to entrepreneurship is based on stereotypes that were hammered into our heads in Soviet times, I also caught it a little.",CONTAINMENT,Mind,THE MIND AS CONTAINER FOR IDEAS,https://www.vtimes.io/2020/10/21/repik-chast-2-a1053,,,
"Нельзя, чтобы естественная монополия была в частных руках без надлежащего контроля. ",Natural monopoly cannot be in private hands without proper control.,CONTAINMENT,Obligations,OBLIGATIONS / AGREEMENTS ARE CONTAINERS ,https://www.vtimes.io/2020/10/21/repik-chast-2-a1053,,,
"Вот это, на мой взгляд, конечно, путь не то чтобы в никуда, но точно к потере конкурентоспособности.","This, in my opinion, of course, is the path not so much to nowhere, but definitely to the loss of competitiveness.",PATH,Development,DEVELOPMENT IS A PATH,https://www.vtimes.io/2020/10/21/repik-chast-2-a1053,,,
Основой эффективного управления взаимоотношениями с клиентам является качественное ведение базы клиентов ,The basis for effective customer relationship management is high-quality customer base management.,VERTICALITY,Quantity,MORE IS UP,http://www.on-crm.ru/article/crmavtomatizationbuizness.php (ruTenTen11 SketchEngine Corpus),,,
"Под руководством Фергюсона «Манчестер Юнайтед» выиграл больше трофеев, чем за всю свою предыдущую столетнюю ист","Under Ferguson's leadership, Manchester United have won more trophies than in their entire 100-year history.",PATH,Leadership,IMPORTANT POSITION IS GUIDANCE ON A PATH,http://stepandstep.ru/ru/catalog/your-tape/ (ruTenTen11 SketchEngine Corpus),,,
"Трейдеры, достигшие более высоких уровней успеха",Traders who have achieved higher levels of success,VERTICALITY,Valence,GOOD IS UP,http://psiholog-forex.narod.ru/st73.html (ruTenTen11 SketchEngine Corpus),,,
"И пусть жанр сериала низкий, зато ТНТ достиг в нем серьезных высот.","And even though the genre of the series is low, TNT has reached serious heights in it.",VERTICALITY,Valence,GOOD IS UP,http://www.mhealth.ru/top100/44535/1023327/ (ruTenTen11 SketchEngine Corpus),,,
Время человеческой жизни – миг; ее сущность – вечное течение;,The time of human life is a moment; its essence is an eternal flow;,PATH,Life,LIFE IS A JOURNEY,http://textik.ru/ca/aphorisms/F/2555/ (ruTenTen11 SketchEngine Corpus),,,
"Если удастся выстроить отношения с собакой должным образом, Вы сможете избежать очень многих проблем","If you manage to build a relationship with your dog properly, you can avoid many problems.",FORCE,Problems,PROBLEMS ARE OBSTACLES ON THE PATH,http://akmid.ru/2010/01/30/poslednie-dni-yanvarya-i-eshhe-odni-rezultaty/ (ruTenTen11 SketchEngine Corpus),,,
"Поэтому люди ночью видят форму и смысл своей мысли, тем самым осознавая смысл себя.","Therefore, people at night see the form and meaning of their thoughts, thereby realizing the meaning of themselves.",OBJECT,Ideas,IDEAS ARE SOLID OBJECTS ,http://www.french-dog.ru/Education_of_the_puppy_7.htm (ruTenTen11 SketchEngine Corpus),,,
На заводе высокие по меркам отрасли зарплаты,The factory has high salaries by the industry standards,VERTICALITY,Valence,GOOD IS UP,https://www.vtimes.io/2020/10/21/chugunnoe-proshloe-iskusstvennoe-nastoyaschee-a1051 (ruTenTen11 SketchEngine Corpus),,,
Локации с высоким положительным рейтингом становятся точками экономической привлекательности,Locations with a high positive rating become points of economic attractiveness,SCALE,Quantity,MORE IS BIGGER,https://www.vtimes.io/2020/10/21/chugunnoe-proshloe-iskusstvennoe-nastoyaschee-a1051 (ruTenTen11 SketchEngine Corpus),,,
Модная индустрия оказалась одной из самых пострадавших от ковида. ,The fashion industry has been one of the hardest hit by covid. ,OBJECT,Events,EXTERNAL EVENTS ARE LARGE MOVING OBJECTS,https://www.vtimes.io/2020/10/20/vizov-3-moda-v-pandemiyu-a1071 (ruTenTen11 SketchEngine Corpus),,,
" Кто достиг вершины, тот идет вниз",The one who reached the top goes down,VERTICALITY,Valence,GOOD IS UP,https://www.livelib.ru/quote/42577209,,,
"Но будут ли тронуты ""сердца"" Hewlett-Packard и Intel? ",But will the hearts of Hewlett-Packard and Intel be touched?,CONTACT,Emotions,EMOTIONAL EFFECT IS PHYSICAL CONTACT,http://www.21gift.ru/leather/cat1546/pos3463.html (ruTenTen11 SketchEngine Corpus),,,
Работать рядом с гигантами интереснее,It is more interesting to work alongside the giants,SCALE,Significance,SIGNIFICANT IS BIG,http://www.buscon.ru/aboutus/article0210.php (ruTenTen11 SketchEngine Corpus),,,
 Была большая надежда на этот аппарат и ту отняли,There was great hope for this device and that was taken away,SCALE,Intensity,INTENSITY IS HEIGHT,http://mykurgan.ru/author/admin/ (ruTenTen11 SketchEngine Corpus),,,
